"","X","index","prod_class","brand","product_title","price","url","url2"
"1",0,0,"laptop","Acer","Aspire E5-574-53QS",390,"http://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"2",1,1,"laptop","Acer","Aspire ES1-571-P1MG",315,"http://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"3",2,2,"laptop","Acer","Aspire One Cloudbook AO1-131-C9PM",165,"http://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/","https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs"
"4",3,3,"laptop","Acer","Aspire R5-571T-57Z0",700,"http://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/","https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs"
"5",4,4,"laptop","Acer","Aspire R7-372T-54TM",900,"http://www.consumerreports.org/products/laptop/acer-aspire-r7-372t-54tm-387107/","https://www.consumerreports.org/products/laptop/acer-aspire-r7-372t-54tm-387107/specs"
"6",5,5,"laptop","Acer","Spin 5 SP513-51-55ZR",570,"http://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/","https://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/specs"
"7",6,6,"laptop","Acer","Swift 3 SF314-51-52W2",690,"http://www.consumerreports.org/products/laptop/acer-swift-3-sf314-51-52w2-387923/","https://www.consumerreports.org/products/laptop/acer-swift-3-sf314-51-52w2-387923/specs"
"8",7,7,"laptop","Apple","MacBook Air 13-inch MJVE2LL/A",1000,"http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/","https://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/specs"
"9",8,8,"laptop","Apple","MacBook Pro 13-inch with Retina Display MF839LL/A",1149,"http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/","https://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/specs"
"10",9,9,"laptop","Apple","MacBook Pro 15-inch with Retina Display MJLQ2LL/A",1848,"http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-with-retina-display-mjlq2ll-a-381914/","https://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-with-retina-display-mjlq2ll-a-381914/specs"
"11",10,10,"laptop","Apple","MacBook Pro 15-inch with Touch Bar MPTU2LL/A",2297,"http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-touch-bar-392574/","https://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-touch-bar-392574/specs"
"12",11,11,"laptop","Asus","EeeBook E402MA-EH",200,"http://www.consumerreports.org/products/laptop/asus-eeebook-e402ma-eh-386280/","https://www.consumerreports.org/products/laptop/asus-eeebook-e402ma-eh-386280/specs"
"13",12,12,"laptop","Asus","Q304UA-BBI5T10",595,"http://www.consumerreports.org/products/laptop/asus-q304ua-bbi5t10-386676/","https://www.consumerreports.org/products/laptop/asus-q304ua-bbi5t10-386676/specs"
"14",13,13,"laptop","Asus","T300CHI-RHM5T06",475,"http://www.consumerreports.org/products/laptop/asus-t300chi-rhm5t06-385010/","https://www.consumerreports.org/products/laptop/asus-t300chi-rhm5t06-385010/specs"
"15",14,14,"laptop","Asus","Transformer Book T100CHI-C1",295,"http://www.consumerreports.org/products/laptop/asus-transformer-book-t100chi-c1-379138/","https://www.consumerreports.org/products/laptop/asus-transformer-book-t100chi-c1-379138/specs"
"16",15,15,"laptop","Asus","VivoBook E403SA-US21",370,"http://www.consumerreports.org/products/laptop/asus-vivobook-e403sa-us21-386117/","https://www.consumerreports.org/products/laptop/asus-vivobook-e403sa-us21-386117/specs"
"17",16,16,"laptop","Asus","X555YA-DB84Q",430,"http://www.consumerreports.org/products/laptop/asus-x555ya-db84q-387687/","https://www.consumerreports.org/products/laptop/asus-x555ya-db84q-387687/specs"
"18",17,17,"laptop","Asus","ZenBook Flip UX360CA",800,"http://www.consumerreports.org/products/laptop/asus-zenbook-flip-ux360ca-387106/","https://www.consumerreports.org/products/laptop/asus-zenbook-flip-ux360ca-387106/specs"
"19",18,18,"laptop","Asus","ZenBook Pro UX501VW-DS71T",1500,"http://www.consumerreports.org/products/laptop/asus-zenbook-pro-ux501vw-ds71t-386108/","https://www.consumerreports.org/products/laptop/asus-zenbook-pro-ux501vw-ds71t-386108/specs"
"20",19,19,"laptop","Dell","Inspiron I3452-600BLK",210,"http://www.consumerreports.org/products/laptop/dell-inspiron-i3452-600blk-384994/","https://www.consumerreports.org/products/laptop/dell-inspiron-i3452-600blk-384994/specs"
"21",20,20,"laptop","Dell","Inspiron i5568-5240",580,"http://www.consumerreports.org/products/laptop/dell-inspiron-i5568-5240-387264/","https://www.consumerreports.org/products/laptop/dell-inspiron-i5568-5240-387264/specs"
"22",21,21,"laptop","Dell","Inspiron I7579-0028GRY",800,"http://www.consumerreports.org/products/laptop/dell-inspiron-i7579-0028gry-388094/","https://www.consumerreports.org/products/laptop/dell-inspiron-i7579-0028gry-388094/specs"
