"","brand","model","prod_class","spec_label","spec_value","url"
"1","Acer","Aspire E5-574-53QS computer","laptop","Display_size","15.6","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"2","Acer","Aspire E5-574-53QS computer","laptop","Operating_system_as_tested_","Windows 10 Home","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"3","Acer","Aspire E5-574-53QS computer","laptop","Processor","Intel Core i5-6200U 2.3GHz","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"4","Acer","Aspire E5-574-53QS computer","laptop","Memory","4","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"5","Acer","Aspire E5-574-53QS computer","laptop","Storage","1000","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"6","Acer","Aspire E5-574-53QS computer","laptop","Video_memory","","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"7","Acer","Aspire E5-574-53QS computer","laptop","LCD_resolution","1366 x 768","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"8","Acer","Aspire E5-574-53QS computer","laptop","Video_adapter","Intel HD Graphics 520","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"9","Acer","Aspire E5-574-53QS computer","laptop","Optical_drive","CD/DVD burner","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"10","Acer","Aspire E5-574-53QS computer","laptop","Height","1.2","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"11","Acer","Aspire E5-574-53QS computer","laptop","Depth","10.2","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"12","Acer","Aspire E5-574-53QS computer","laptop","Width","15","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"13","Acer","Aspire E5-574-53QS computer","laptop","Warranty_length","12","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"14","Acer","Aspire E5-574-53QS computer","laptop","Tech_support_length","12","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"15","Acer","Aspire E5-574-53QS computer","laptop","Battery_capacity","37","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"16","Acer","Aspire E5-574-53QS computer","laptop","Energy_Star","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"17","Acer","Aspire E5-574-53QS computer","laptop","EPEAT_level","","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"18","Acer","Aspire E5-574-53QS computer","laptop","Blu_ray_or_DVD","D","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"19","Acer","Aspire E5-574-53QS computer","laptop","Memory_card_reader","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"20","Acer","Aspire E5-574-53QS computer","laptop","Facial_recognition","No","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"21","Acer","Aspire E5-574-53QS computer","laptop","Hand_gesture_control","No","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"22","Acer","Aspire E5-574-53QS computer","laptop","Fingerprint_reader","No","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"23","Acer","Aspire E5-574-53QS computer","laptop","WiFi_type","802.11ac","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"24","Acer","Aspire E5-574-53QS computer","laptop","USB_sleep_and_charge","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"25","Acer","Aspire E5-574-53QS computer","laptop","Thunderbolt_port","No","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"26","Acer","Aspire E5-574-53QS computer","laptop","Digital_video_out","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"27","Acer","Aspire E5-574-53QS computer","laptop","Number_of_USB_ports","3","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"28","Acer","Aspire E5-574-53QS computer","laptop","Gigabit_Ethernet","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"29","Acer","Aspire E5-574-53QS computer","laptop","VGA_video_out","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"30","Acer","Aspire E5-574-53QS computer","laptop","DVI_video_out","No","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"31","Acer","Aspire E5-574-53QS computer","laptop","HDMI_output","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs"
"32","Acer","Aspire ES1-571-P1MG computer","laptop","Display_size","15.6","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"33","Acer","Aspire ES1-571-P1MG computer","laptop","Operating_system_as_tested_","Windows 10 Home","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"34","Acer","Aspire ES1-571-P1MG computer","laptop","Processor","Intel Pentium 3556U 1.7GHz","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"35","Acer","Aspire ES1-571-P1MG computer","laptop","Memory","4","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"36","Acer","Aspire ES1-571-P1MG computer","laptop","Storage","500","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"37","Acer","Aspire ES1-571-P1MG computer","laptop","Video_memory","","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"38","Acer","Aspire ES1-571-P1MG computer","laptop","LCD_resolution","1366 x 768","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"39","Acer","Aspire ES1-571-P1MG computer","laptop","Video_adapter","Intel HD Graphics","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"40","Acer","Aspire ES1-571-P1MG computer","laptop","Optical_drive","CD/DVD burner","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"41","Acer","Aspire ES1-571-P1MG computer","laptop","Height","1.2","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"42","Acer","Aspire ES1-571-P1MG computer","laptop","Depth","10.1","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"43","Acer","Aspire ES1-571-P1MG computer","laptop","Width","15.1","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"44","Acer","Aspire ES1-571-P1MG computer","laptop","Warranty_length","12","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"45","Acer","Aspire ES1-571-P1MG computer","laptop","Tech_support_length","12","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"46","Acer","Aspire ES1-571-P1MG computer","laptop","Battery_capacity","38","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"47","Acer","Aspire ES1-571-P1MG computer","laptop","Energy_Star","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"48","Acer","Aspire ES1-571-P1MG computer","laptop","EPEAT_level","","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"49","Acer","Aspire ES1-571-P1MG computer","laptop","Blu_ray_or_DVD","D","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"50","Acer","Aspire ES1-571-P1MG computer","laptop","Memory_card_reader","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"51","Acer","Aspire ES1-571-P1MG computer","laptop","Facial_recognition","No","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"52","Acer","Aspire ES1-571-P1MG computer","laptop","Hand_gesture_control","No","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"53","Acer","Aspire ES1-571-P1MG computer","laptop","Fingerprint_reader","No","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"54","Acer","Aspire ES1-571-P1MG computer","laptop","WiFi_type","802.11ac","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"55","Acer","Aspire ES1-571-P1MG computer","laptop","USB_sleep_and_charge","No","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"56","Acer","Aspire ES1-571-P1MG computer","laptop","Thunderbolt_port","No","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"57","Acer","Aspire ES1-571-P1MG computer","laptop","Digital_video_out","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"58","Acer","Aspire ES1-571-P1MG computer","laptop","Number_of_USB_ports","3","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"59","Acer","Aspire ES1-571-P1MG computer","laptop","Gigabit_Ethernet","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"60","Acer","Aspire ES1-571-P1MG computer","laptop","VGA_video_out","No","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"61","Acer","Aspire ES1-571-P1MG computer","laptop","DVI_video_out","No","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"62","Acer","Aspire ES1-571-P1MG computer","laptop","HDMI_output","Yes","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs"
"63","Acer","Aspire One Cloudbook AO1-131-C9PM computer","laptop","Display_size","11.6","https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs"
"64","Acer","Aspire One Cloudbook AO1-131-C9PM computer","laptop","Operating_system_as_tested_","Windows 10 Home","https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs"
"65","Acer","Aspire One Cloudbook AO1-131-C9PM computer","laptop","Processor","Intel Celeron N3050 1.6GHz","https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs"
"66","Acer","Aspire One Cloudbook AO1-131-C9PM computer","laptop","Memory","2","https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs"
