"","brand","model","prod_class","url","Analog_surround_sound_out","Battery_capacity","Blu_ray_or_DVD","Blu_ray_reader","Built_in_microphone","Built_in_webcam","Depth","Digital_video_out","Display_size","DisplayPort_video_out","DVI_video_out","Energy_Star","EPEAT_level","Facial_recognition","Fingerprint_reader","Free_memory_slot","Gigabit_Ethernet","Hand_gesture_control","HDMI_output","HDMI_video_in","HDMI_video_out","Height","LCD_resolution","Memory","Memory_card_reader","MS_Memory_Stick_reader","Multitouch_touchpad","Number_of_free_USB_ports","Number_of_speakers","Number_of_USB_ports","Operating_system_as_tested_","Optical_digital_audio_out","Optical_drive","Processor","SD/MMC_reader","Storage","Suitable_for_gaming","Tech_support_length","Thunderbolt_port","Touchpad","USB_sleep_and_charge","VGA_video_out","Video_adapter","Video_memory","Voice_command","Warranty_length","Width","WiFi","WiFi_type","Wireless_keyboard","Wireless_mouse","xD_reader","Has_Facial_recognition","Has_FingerPrintReader"
"1","Acer","Aspire E5-574-53QS computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs",NA,37,"D",NA,NA,NA,10.2,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.2,"1366 x 768",4,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i5-6200U 2.3GHz",NA,1000,NA,12,"0",NA,"Yes","Yes","Intel HD Graphics 520",NA,NA,12,15,NA,"802.11ac",NA,NA,NA,0,0
"2","Acer","Aspire E5-575T-3678 computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-e5-575t-3678-388641/specs",NA,41,"D",NA,NA,NA,10.2,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.3,"1366 x 768",8,"Yes",NA,NA,NA,NA,4,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i3-6006U 2GHz",NA,1000,NA,12,"0",NA,"No","Yes","Intel HD Graphics 520",NA,NA,12,15,NA,"802.11ac",NA,NA,NA,0,0
"3","Acer","Aspire ES 15 E5-573-35JA computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-es-15-e5-573-35ja-386283/specs",NA,37,"D",NA,NA,NA,10.2,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.2,"1366 x 768",4,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i3-5005U 2GHz",NA,500,NA,12,"0",NA,"Yes","Yes","Intel HD Graphics 5500",NA,NA,12,15,NA,"802.11ac",NA,NA,NA,0,0
"4","Acer","Aspire ES1-533-C55P computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-es1-533-c55p-388642/specs",NA,37,"None",NA,NA,NA,10.3,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.1,"1366 x 768",4,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Celeron N3350 1.1GHz",NA,500,NA,12,"0",NA,"No","No","Intel HD Graphics 500",NA,NA,12,15.1,NA,"802.11ac",NA,NA,NA,0,0
"5","Acer","Aspire ES1-571-P1MG computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs",NA,38,"D",NA,NA,NA,10.1,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.2,"1366 x 768",4,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","Intel Pentium 3556U 1.7GHz",NA,500,NA,12,"0",NA,"No","No","Intel HD Graphics",NA,NA,12,15.1,NA,"802.11ac",NA,NA,NA,0,0
"6","Acer","Aspire F5-573-505W computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-f5-573-505w-386465/specs",NA,41,"D",NA,NA,NA,10.2,"Yes",15.6,NA,"No","No","","No","No",NA,"1","No","Yes",NA,NA,1.1,"1366 x 768",8,"Yes",NA,NA,NA,NA,4,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i5-6200U 2.3GHz",NA,1000,NA,12,"1",NA,"Yes","Yes","Intel HD Graphics 520",NA,NA,12,15,NA,"802.11ac",NA,NA,NA,0,0
"7","Acer","Aspire Nitro VN7- 592G-77 computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-nitro-vn7-592g-77-386284/specs",NA,52,"None",NA,NA,NA,10.3,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1,"1920 x 1080",16,"Yes",NA,NA,NA,NA,4,"Windows 10 Home",NA,"None","Intel Core i7-6700HQ 2.6GHz",NA,1256,NA,12,"1",NA,"Yes","No","Nvidia GeForce GTX 960M/Intel HD Graphics 530",1024,NA,12,15.3,NA,"802.11ac",NA,NA,NA,0,0
"8","Acer","Aspire One Cloudbook AO1-131-C9PM computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs",NA,32,"None",NA,NA,NA,7.9,"Yes",11.6,NA,"No","No","","No","No",NA,"0","No","Yes",NA,NA,0.8,"1366 x 768",2,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"None","Intel Celeron N3050 1.6GHz",NA,32,NA,12,"0",NA,"No","No","Intel HD Graphics",NA,NA,12,11.5,NA,"802.11ac",NA,NA,NA,0,0
"9","Acer","Aspire R3-131T-P6G7 computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-r3-131t-p6g7-387266/specs",NA,49,"None",NA,NA,NA,8.3,"Yes",11.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,0.9,"1366 x 768",4,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"None","Intel Pentium N3710 1.6GHz",NA,64,NA,12,"0",NA,"No","No","Intel HD Graphics 405",NA,NA,12,11.7,NA,"802.11ac",NA,NA,NA,0,0
"10","Acer","Aspire R5-571T-57Z0 computer","laptop","https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs",NA,48,"None",NA,NA,NA,10.1,"Yes",15.6,NA,"No","Yes","","No","No",NA,"0","No","Yes",NA,NA,0.9,"1920 x 1080",8,"Yes",NA,NA,NA,NA,4,"Windows 10 Home",NA,"None","Intel Core i7-7200U 2.5GHz",NA,1000,NA,12,"0",NA,"Yes","No","Intel HD Graphics 620",NA,NA,12,14.6,NA,"802.11ac",NA,NA,NA,0,0
