brand,model,prod_class,prod_short_descr,has_reviews,url,reported_exceptions
Dell,Dell Inspiron 22 3000 Touch computer,desktop-computer,"An all-in-one desktop computer with a 21.5-inch touchscreen tested with Windows 10 Home, an AMD A8-7410 2.2GHz processor, 8GB of memory, a 1TB hard drive, AMD Radeon R5 Graphics graphics, a DVD burner, and 2-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-22-3000-touch-387425/user-reviews#user-reviews,
Dell,Dell Inspiron 24 3000 (Intel) computer,desktop-computer,"An all-in-one desktop computer with a 23.8-inch touchscreen tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, a 1TB hard drive, Intel HD Graphics 520 graphics, a DVD burner, and 2-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-24-3000-intel-385761/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Dell,Dell Inspiron 24 3000 Touch computer,desktop-computer,"An all-in-one desktop computer with a 23.8-inch touchscreen tested with Windows 10 Home, an AMD A8-7410 2.2GHz processor, 8GB of memory, a 1TB hard drive, AMD Radeon R5 Graphics graphics, a DVD burner, and 2-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-24-3000-touch-387426/user-reviews#user-reviews,
Dell,Dell Inspiron 3464-5007BLK computer,desktop-computer,"An all-in-one desktop computer with a 23.8-inch touchscreen tested with Windows 10 Home, an Intel Core i5-7200 2.5GHz processor, 8GB of memory, a 1TB hard drive, Intel HD Graphics 620 graphics, a DVD burner, and 2-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-3464-5007blk-389335/user-reviews#user-reviews,
Dell,Dell Inspiron Desktop 3650 computer,desktop-computer,"A full-size desktop computer tested with Windows 10 Home, an Intel Core i5-6400 2.7GHz processor, 8GB of memory, a 1TB hard drive, Intel HD Graphics 530 graphics, a DVD burner, and no speakers.",False,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-desktop-3650-387270/user-reviews#user-reviews,
Dell,Dell XPS 8920-7529SLV computer,desktop-computer,"A full-size desktop computer tested with Windows 10 Home, an Intel Core i7-7700 3.6GHz processor, 16GB of memory, a 1TB hard drive, AMD Radeon RX 560/Intel HD Graphics 630 graphics, a DVD burner, and no speakers.",False,http://www.consumerreports.org/products/desktop-computer/dell-xps-8920-7529slv-389332/user-reviews#user-reviews,
HP,HP All-in-One 22-3110 computer,desktop-computer,"An all-in-one desktop computer with a 21.5-inch screen tested with Windows 10 Home, an AMD E1-6015 1.4GHz processor, 4GB of memory, a 1TB hard drive, AMD Radeon R2 Series graphics, a DVD burner, and 2-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/hp-all-in-one-22-3110-384301/user-reviews#user-reviews,
HP,HP ENVY 27-b014 computer,desktop-computer,"An all-in-one desktop computer with a 27-inch touchscreen tested with Windows 10 Home, an Intel Core i7-6700T 2.8GHz processor, 16GB of memory, a 256GB solid state drive, a 2TB hard drive, Nvidia GeForce GTX 950M/Intel HD Graphics 530 graphics, and 4-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/hp-envy-27-b014-388100/user-reviews#user-reviews,
HP,HP Envy 27-b110 computer,desktop-computer,"An all-in-one desktop computer with a 27-inch touchscreen tested with Windows 10 Home, an Intel Core i7-7700T 2.9GHz processor, 16GB of memory, a 128GB solid state drive, a 1TB hard drive, Nvidia GeForce GTX 950M/Intel HD Graphics 630 graphics, and 2-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/hp-envy-27-b110-388776/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
HP,HP Envy 750-467c computer,desktop-computer,"A full-size desktop computer tested with Windows 10 Pro, an Intel Core i7-6700 3.4GHz processor, 16GB of memory, a 1TB hard drive, Nvidia GeForce GTX 750 Ti graphics, a DVD burner, and NA-piece speakers.",False,http://www.consumerreports.org/products/desktop-computer/hp-envy-750-467c-389574/user-reviews#user-reviews,
