brand,model,prod_class,spec_label,spec_value,url
Acer,Aspire E5-574-53QS computer,laptop,Display_size,15.6,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Operating_system_as_tested_,Windows 10 Home,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Processor,Intel Core i5-6200U 2.3GHz,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Memory,4,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Storage,1000,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Video_memory,,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,LCD_resolution,1366 x 768,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Video_adapter,Intel HD Graphics 520,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Optical_drive,CD/DVD burner,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Height,1.2,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Depth,10.2,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Width,15,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Warranty_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Tech_support_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Battery_capacity,37,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Energy_Star,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,EPEAT_level,,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Blu_ray_or_DVD,D,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Memory_card_reader,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Facial_recognition,No,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Hand_gesture_control,No,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Fingerprint_reader,No,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,WiFi_type,802.11ac,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,USB_sleep_and_charge,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Thunderbolt_port,No,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Digital_video_out,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Number_of_USB_ports,3,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,Gigabit_Ethernet,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,VGA_video_out,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,DVI_video_out,No,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire E5-574-53QS computer,laptop,HDMI_output,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Display_size,15.6,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Operating_system_as_tested_,Windows 10 Home,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Processor,Intel Pentium 3556U 1.7GHz,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Memory,4,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Storage,500,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Video_memory,,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,LCD_resolution,1366 x 768,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Video_adapter,Intel HD Graphics,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Optical_drive,CD/DVD burner,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Height,1.2,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Depth,10.1,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Width,15.1,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Warranty_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Tech_support_length,12,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Battery_capacity,38,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Energy_Star,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,EPEAT_level,,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Blu_ray_or_DVD,D,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Memory_card_reader,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Facial_recognition,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
Acer,Aspire ES1-571-P1MG computer,laptop,Hand_gesture_control,No,https://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/specs
