prod_class,brand,product_title,price,url
chromebook,Acer,Chromebook 14 CB3-431-C5FM,$264.99,http://www.consumerreports.org/products/chromebooks/acer-chromebook-14-cb3-431-c5fm-386278/overview/
chromebook,Acer,Chromebook 15 C910-54M1,$496.17,http://www.consumerreports.org/products/chromebooks/acer-chromebook-15-c910-54m1-376372/overview/
chromebook,Acer,ChromeBook C810-T7ZT,$266.51,http://www.consumerreports.org/products/chromebooks/acer-chromebook-c810-t7zt-383569/overview/
chromebook,Acer,ChromeBook CB5-312T-K8Z9,$454.06,http://www.consumerreports.org/products/chromebooks/acer-chromebook-cb5-312t-k8z9-388090/overview/
chromebook,Asus,Chromebook C201PA-DS01,$221.00,http://www.consumerreports.org/products/chromebooks/asus-chromebook-c201pa-ds01-379129/overview/
chromebook,Asus,Chromebook C202SA-YS02,$199.00,http://www.consumerreports.org/products/chromebooks/asus-chromebook-c202sa-ys02-386337/overview/
chromebook,Asus,Chromebook C300SA-DS02-LB,$209.00,http://www.consumerreports.org/products/chromebooks/asus-chromebook-c300sa-ds02-lb-387263/overview/
chromebook,HP,Chromebook 11-2210nr,$189.95,http://www.consumerreports.org/products/chromebooks/hp-chromebook-11-2210nr-385058/overview/
chromebook,HP,ChromeBook 11-V011DX,$244.00,http://www.consumerreports.org/products/chromebooks/hp-chromebook-11-v011dx-388092/overview/
chromebook,HP,Chromebook 13,$478.88,http://www.consumerreports.org/products/chromebooks/hp-chromebook-13-386279/overview/
chromebook,Acer,CB5-132T-C9KK,$300.00,http://www.consumerreports.org/products/chromebooks/acer-cb5-132t-c9kk-388956/overview/
chromebook,Acer,Chromebook 11 CB3-131-C3VC,$170.00,http://www.consumerreports.org/products/chromebooks/acer-chromebook-11-cb3-131-c3vc-385657/overview/
chromebook,Acer,Chromebook C740-C3P1,$250.00,http://www.consumerreports.org/products/chromebooks/acer-chromebook-c740-c3p1-376371/overview/
chromebook,Acer,Chromebook CB3-532-C47C,$200.00,http://www.consumerreports.org/products/chromebooks/acer-chromebook-cb3-532-c47c-387940/overview/
chromebook,Acer,Chromebook R11 CB5-132T-C32M,$300.00,http://www.consumerreports.org/products/chromebooks/acer-chromebook-r11-cb5-132t-c32m-385733/overview/
chromebook,Asus,Chromebook Flip C100PA-DB01,$250.00,http://www.consumerreports.org/products/chromebooks/asus-chromebook-flip-c100pa-db01-384309/overview/
