prod_class,brand,product_title,price,url
desktop pcs,Apple,21.5-inch iMac MK442LL/A,"$1,200.00",http://www.consumerreports.org/products/desktop-computer/apple-21-5-inch-imac-mk442ll-a-384904/overview/
desktop pcs,Apple,27-inch iMac MNE92LL/A,"$1,699.00",http://www.consumerreports.org/products/desktop-computer/apple-imac-27-inch-mne92ll-a-392569/overview/
desktop pcs,Apple,27-inch iMac with Retina 5K display MK472LL/A,"$1,799.00",http://www.consumerreports.org/products/desktop-computer/apple-27-inch-imac-with-retina-5k-display-mk472ll-a-384905/overview/
desktop pcs,Apple,iMac with Retina 4K display MK452LL/A,"$1,400.00",http://www.consumerreports.org/products/desktop-computer/apple-imac-with-retina-4k-display-mk452ll-a-384903/overview/
desktop pcs,Asus,VivoPC M32CD-B12,$749.97,http://www.consumerreports.org/products/desktop-computer/asus-vivopc-m32cd-b12-389331/overview/
desktop pcs,Dell,Inspiron 5488-7536SLV,"$1,165.40",http://www.consumerreports.org/products/desktop-computer/dell-inspiron-5488-7536slv-389333/overview/
desktop pcs,Dell,Inspiron I3455-10041WHT,$650.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-i3455-10041wht-384300/overview/
desktop pcs,HP,20-C020,$350.00,http://www.consumerreports.org/products/desktop-computer/hp-20-c020-387269/overview/
desktop pcs,HP,ENVY 34-a010,"$1,499.00",http://www.consumerreports.org/products/desktop-computer/hp-envy-34-a010-385057/overview/
desktop pcs,HP,Pavilion 27-a230,$950.00,http://www.consumerreports.org/products/desktop-computer/hp-pavilion-27-a230-388774/overview/
desktop pcs,Intel,Compute Stick 2nd Gen,$125.00,http://www.consumerreports.org/products/desktop-computer/intel-compute-stick-2nd-gen-385913/overview/
desktop pcs,Lenovo,510S-08ISH,$379.99,http://www.consumerreports.org/products/desktop-computer/lenovo-510s-08ish-388101/overview/
desktop pcs,Lenovo,Erazer X315,$639.00,http://www.consumerreports.org/products/desktop-computer/lenovo-erazer-x315-293258/overview/
desktop pcs,Lenovo,Ideacentre 610S,$930.00,http://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-610s-387424/overview/
desktop pcs,Lenovo,"Ideacentre AIO 300-20""",$450.00,http://www.consumerreports.org/products/desktop-computer/lenovo-ideacentre-aio-300-20-386661/overview/
desktop pcs,Microsoft,Surface Studio,"$2,899.99",http://www.consumerreports.org/products/desktop-computer/microsoft-surface-studio-388050/overview/
desktop pcs,Apple,21.5-inch iMac MMQA2LL/A,"$1,100.00",http://www.consumerreports.org/products/desktop-computer/apple-imac-21-5-inch-392567/overview/
desktop pcs,Apple,21.5-inch iMac with 4K Display MNDY2LL/A,"$1,300.00",http://www.consumerreports.org/products/desktop-computer/apple-imac-21-5-inch-4k-392568/overview/
desktop pcs,Apple,iMac w/Retina 5K display MF886LL/A,"$1,950.00",http://www.consumerreports.org/products/desktop-computer/apple-imac-w-retina-5k-display-mf886ll-a-295009/overview/
desktop pcs,Apple,Mac Mini MGEM2LL/A,$400.00,http://www.consumerreports.org/products/desktop-computer/apple-mac-mini-mgem2ll-a-295010/overview/
desktop pcs,Asus,Zen Pro 240IEGT-16,"$1,480.00",http://www.consumerreports.org/products/desktop-computer/asus-zen-pro-240iegt-16-389571/overview/
desktop pcs,Asus,Zen Z240IC-GT-09S,"$1,150.00",http://www.consumerreports.org/products/desktop-computer/asus-zen-z240ic-gt-09-s-386119/overview/
desktop pcs,Dell,Inspiron 20 3000 Intel,$500.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-20-3000-intel-385660/overview/
desktop pcs,Dell,Inspiron 22 3000 Touch,$580.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-22-3000-touch-387425/overview/
desktop pcs,Dell,Inspiron 24 3000 (Intel),$750.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-24-3000-intel-385761/overview/
desktop pcs,Dell,Inspiron 24 3000 Touch,$265.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-24-3000-touch-387426/overview/
desktop pcs,Dell,Inspiron 24 5000,$900.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-24-5000-385661/overview/
desktop pcs,Dell,Inspiron 24 7000,"$1,000.00",http://www.consumerreports.org/products/desktop-computer/dell-inspiron-24-7000-385662/overview/
desktop pcs,Dell,Inspiron 3464-5007BLK,$800.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-3464-5007blk-389335/overview/
desktop pcs,Dell,Inspiron 3668-7819BLK,$800.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-3668-7819blk-388970/overview/
desktop pcs,Dell,Inspiron Desktop 3650,$550.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-desktop-3650-387270/overview/
desktop pcs,Dell,Inspiron I3647-3538BK,$450.00,http://www.consumerreports.org/products/desktop-computer/dell-inspiron-i3647-3538bk-383563/overview/
desktop pcs,Dell,"XPS 27""","$1,550.00",http://www.consumerreports.org/products/desktop-computer/dell-xps-27-385664/overview/
desktop pcs,Dell,XPS 8910-4020SLV,"$1,000.00",http://www.consumerreports.org/products/desktop-computer/dell-xps-8910-4020slv-388099/overview/
desktop pcs,Dell,XPS 8920-7529SLV,"$1,000.00",http://www.consumerreports.org/products/desktop-computer/dell-xps-8920-7529slv-389332/overview/
desktop pcs,Dell,XPS Tower,$700.00,http://www.consumerreports.org/products/desktop-computer/dell-xps-tower-387884/overview/
desktop pcs,HP,24-g227c,$650.00,http://www.consumerreports.org/products/desktop-computer/hp-24-g227c-388965/overview/
